tab:1secMeasurement
garbage,trash,count,time,shit,crap,piss
2,7431,2,1000000,65,128,0
2,7447,1,1000000,65,128,0
2,7462,3,1000000,65,128,0
2,7477,0,1000000,65,128,0
2,7493,1,1000000,65,128,0
2,7508,1,1000000,65,128,0
2,7523,1,1000000,65,128,0
2,7538,2,1000000,65,128,0
2,7554,0,1000000,65,128,0
2,7569,1,1000000,65,128,0
2,7584,0,1000000,65,128,0
2,7599,0,1000000,65,128,0
2,7615,0,1000000,65,128,0
2,7630,1,1000000,65,128,0
2,7645,1,1000000,65,128,0
2,7660,1,1000000,65,128,0
2,7676,2,1000000,65,128,0
2,7691,1,1000000,65,128,0
2,7706,2,1000000,65,128,0
2,7721,1,1000000,65,128,0
2,7737,0,1000000,65,128,0
2,7752,1,1000000,65,128,0
2,7767,3,1000000,65,128,0
2,7782,1,1000000,65,128,0
2,7798,3,1000000,65,128,0
2,7813,1,1000000,65,128,0
2,7828,3,1000000,65,128,0
2,7844,1,1000000,65,128,0
2,7859,1,1000000,65,128,0
2,7874,1,1000000,65,128,0
2,7889,1,1000000,65,128,0
2,7905,0,1000000,65,128,0
2,7920,0,1000000,65,128,0
2,7935,1,1000000,65,128,0
2,7950,1,1000000,65,128,0
2,7966,2,1000000,65,128,0
2,7981,1,1000000,65,128,0
2,7996,3,1000000,65,128,0
2,8011,2,1000000,65,128,0
2,8027,3,1000000,65,128,0
2,8042,0,1000000,65,128,0
2,8057,0,1000000,65,128,0
2,8072,0,1000000,65,128,0
2,8088,0,1000000,65,128,0
2,8103,2,1000000,65,128,0
2,8118,0,1000000,65,128,0
2,8133,0,1000000,65,128,0
2,8149,0,1000000,65,128,0
2,8164,1,1000000,65,128,0
2,8179,0,1000000,65,128,0
2,8194,0,1000000,65,128,0
2,8210,0,1000000,65,128,0
2,8225,1,1000000,65,128,0
2,8240,1,1000000,65,128,0
2,8256,3,1000000,65,128,0
2,8271,0,1000000,65,128,0
2,8286,1,1000000,65,128,0
2,8301,1,1000000,65,128,0
2,8317,1,1000000,65,128,0
2,8332,1,1000000,65,128,0
2,8347,1,1000000,65,128,0
2,8362,0,1000000,65,128,0
2,8378,1,1000000,65,128,0
2,8393,1,1000000,65,128,0
2,8408,0,1000000,65,128,0
2,8423,0,1000000,65,128,0
2,8439,1,1000000,65,128,0
2,8454,1,1000000,65,128,0
2,8469,0,1000000,65,128,0
2,8484,2,1000000,65,128,0
2,8500,0,1000000,65,128,0
2,8515,0,1000000,65,128,0
2,8530,1,1000000,65,128,0
2,8545,0,1000000,65,128,0
2,8561,1,1000000,65,128,0
2,8576,0,1000000,65,128,0
2,8591,0,1000000,65,128,0
2,8606,0,1000000,65,128,0
2,8622,0,1000000,65,128,0
2,8637,0,1000000,65,128,0
2,8652,2,1000000,65,128,0
2,8667,1,1000000,65,128,0
2,8683,1,1000000,65,128,0
2,8698,2,1000000,65,128,0
2,8713,4,1000000,65,128,0
2,8729,1,1000000,65,128,0
2,8744,0,1000000,65,128,0
2,8759,1,1000000,65,128,0
2,8774,1,1000000,65,128,0
2,8790,0,1000000,65,128,0
2,8805,0,1000000,65,128,0
2,8820,3,1000000,65,128,0
2,8835,0,1000000,65,128,0
2,8851,3,1000000,65,128,0
2,8866,0,1000000,65,128,0
2,8881,0,1000000,65,128,0
2,8896,2,1000000,65,128,0
2,8912,1,1000000,65,128,0
2,8927,0,1000000,65,128,0
2,8942,1,1000000,65,128,0
2,8957,0,1000000,65,128,0
2,8973,2,1000000,65,128,0
2,8988,0,1000000,65,128,0
2,9003,0,1000000,65,128,0
2,9018,2,1000000,65,128,0
2,9034,1,1000000,65,128,0
